Title,Artist Name,Year Created,Url,Refrence No
Gladioli (1919),"Joseph Stella (American, 1877-1946)",1919,https://artvee.com/dl/gladioli-3/,52755pl.jpg
Twee takken met elk een bloem (1714 - 1760),"Michiel van Huysum (Dutch, 1703-1777)",1714 - 1760,https://artvee.com/dl/twee-takken-met-elk-een-bloem/,53121pl.jpg
Dendrobium Falconeri (1885-1906),"Jean Jules Linden (Belgian, 1817-1898)",1885-1906,https://artvee.com/dl/dendrobium-falconeri/,52996pl.jpg
Tallest Oncidium (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/tallest-oncidium/,54968pl.jpg
"Wild Orange Lily, Canadian Harebell, Showy Lady’s Slipper (1868)","Agnes Fitzgibbon (Canadian, 1833-1913)",1868,https://artvee.com/dl/wild-orange-lily-canadian-harebell-showy-ladys-slipper/,51307pl.jpg
Poire Beurré Jean Van Geert (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/poire-beurre-jean-van-geert/,51977pl.jpg
Marronnier 2 (1896),"Maurice Pillard Verneuil (French, 1869-1942)",1896,https://artvee.com/dl/marronnier-2/,50247pl.jpg
Hyacint genaamd Surpasse Mine d’Or (1745 - 1784),"Pieter van Loo (Dutch, 1731-1784)",1745 - 1784,https://artvee.com/dl/hyacint-genaamd-surpasse-mine-dor/,53129pl.jpg
Floral design for printed textile Pl IX (1800–1818),Anonymous,1800–1818,https://artvee.com/dl/floral-design-for-printed-textile-pl-ix/,104130ab.jpg
"Masdevallia Lindeni, var. Harryana (1854-1896)","Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/masdevallia-lindeni-var-harryana/,51913pl.jpg
Viburnum (1750-1773),"Georg Dionysius Ehret (German, 1708-1770)",1750-1773,https://artvee.com/dl/viburnum/,52656pl.jpg
Narcissus 3 (1872-1881),"Arentina Hendrica Arendsen (Dutch, 1836 - 1915)",1872-1881,https://artvee.com/dl/narcissus-3/,50449pl.jpg
Saxifraga Fortunei Hort. angl. var. tricolor (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/saxifraga-fortunei-hort-angl-var-tricolor/,52044pl.jpg
Downy Bearberry (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/downy-bearberry/,54096pl.jpg
Choix des plus belles fleurs pl 098 (1827),"Pierre Joseph Redouté (French, 1759-1840)",1827,https://artvee.com/dl/choix-des-plus-belles-fleurs-pl-098/,53533pl.jpg
Crimson Passionflower (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/crimson-passionflower/,54026pl.jpg
Rhizomes of a Pogoniris and of a Regelia Iris (1913),"William Rickatson Dykes (English, 1877-1925)",1913,https://artvee.com/dl/rhizomes-of-a-pogoniris-and-of-a-regelia-iris/,52187pl.jpg
Pineland Aster. Aster squarrosus (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/pineland-aster-aster-squarrosus/,52390pl.jpg
Northern Bedstraw. (Galium boreale) (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/northern-bedstraw-galium-boreale/,51476pl.jpg
Study of a Plant with Red-Purple Flowers (Sebastiana africana purpurea) (1695),"Maria Monninckx (Dutch, 1673-1757)",1695,https://artvee.com/dl/study-of-a-plant-with-red-purple-flowers-sebastiana-africana-purpurea/,52133pl.jpg
Yaupon. Ilex vomitoria (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/yaupon-ilex-vomitoria/,52516pl.jpg
Caladium Belleymii (1867-1870),"Edward Joseph Lowe (English, 1825 – 1900)",1867-1870,https://artvee.com/dl/caladium-belleymii/,50556pl.jpg
Crotalaria (1750-1773),"Georg Dionysius Ehret (German, 1708-1770)",1750-1773,https://artvee.com/dl/crotalaria/,52586pl.jpg
Urtica (1750-1773),"Georg Dionysius Ehret (German, 1708-1770)",1750-1773,https://artvee.com/dl/urtica/,52653pl.jpg
Shewy Delphinium (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/shewy-delphinium/,54800pl.jpg
Alberta Primrose. Primula maccalliana (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/alberta-primrose-primula-maccalliana/,52207pl.jpg
"Riviergod, een draak en vier bloemen (1688)",Anonymous,1688,https://artvee.com/dl/riviergod-een-draak-en-vier-bloemen/,50915pl.jpg
Astry (1801-1825),Anonymous,1801-1825,https://artvee.com/dl/astry/,52769pl.jpg
Large Prickly Gilia (1915),"Margaret Armstrong (American, 1867-1944)",1915,https://artvee.com/dl/large-prickly-gilia/,51420pl.jpg
